-0.451815,0.089527,1.540235,-1.684202,-2.024308,-0.843210
-0.452048,0.089097,1.539935,-1.684830,-2.025622,-0.846059
-0.452281,0.088666,1.539636,-1.685459,-2.026936,-0.848907
-0.452533,0.088210,1.539327,-1.686108,-2.028309,-0.851831
-0.452785,0.087754,1.539019,-1.686757,-2.029682,-0.854756
-0.453052,0.087290,1.538733,-1.687391,-2.031102,-0.857730
-0.453319,0.086825,1.538447,-1.688024,-2.032521,-0.860704
-0.453600,0.086361,1.538201,-1.688622,-2.033978,-0.863710
-0.453881,0.085897,1.537954,-1.689219,-2.035435,-0.866715
-0.454172,0.085435,1.537743,-1.689787,-2.036922,-0.869750
-0.454463,0.084973,1.537532,-1.690355,-2.038410,-0.872785
-0.454765,0.084512,1.537350,-1.690899,-2.039928,-0.875851
-0.455067,0.084052,1.537167,-1.691444,-2.041446,-0.878918
-0.455380,0.083593,1.537006,-1.691972,-2.042996,-0.882013
-0.455694,0.083134,1.536845,-1.692500,-2.044546,-0.885108
-0.456018,0.082669,1.536686,-1.693033,-2.046126,-0.888231
-0.456342,0.082204,1.536527,-1.693565,-2.047706,-0.891355
-0.456675,0.081726,1.536349,-1.694124,-2.049318,-0.894500
-0.457009,0.081247,1.536172,-1.694683,-2.050930,-0.897646
-0.457355,0.080752,1.535970,-1.695270,-2.052576,-0.900790
-0.457701,0.080256,1.535768,-1.695857,-2.054222,-0.903935
-0.458057,0.079751,1.535552,-1.696460,-2.055893,-0.907047
-0.458413,0.079245,1.535337,-1.697062,-2.057565,-0.910159
-0.458769,0.078740,1.535119,-1.697681,-2.059248,-0.913237
-0.459126,0.078235,1.534902,-1.698299,-2.060931,-0.916315
-0.459476,0.077738,1.534692,-1.698937,-2.062627,-0.919373
-0.459827,0.077241,1.534482,-1.699575,-2.064322,-0.922431
-0.460169,0.076756,1.534285,-1.700226,-2.066027,-0.925459
-0.460512,0.076272,1.534088,-1.700876,-2.067733,-0.928487
-0.460845,0.075797,1.533891,-1.701545,-2.069443,-0.931460
